Student [rollNo=dac-002, name=Mihir, dob=1996-10-21, subject=JAVA, gpa=7.47]
Student [rollNo=dac-020, name=Kirti, dob=1996-10-21, subject=JAVA, gpa=7.47]
Student [rollNo=dac-009, name=Ritesh, dob=1995-03-12, subject=JAVA, gpa=7.5]
Student [rollNo=dac-008, name=Anish, dob=1998-01-29, subject=ANGULAR, gpa=7.59]
Student [rollNo=dac-011, name=Ritu, dob=1997-01-29, subject=ANGULAR, gpa=7.59]
Student [rollNo=dac-001, name=Riya, dob=1995-03-17, subject=JAVA, gpa=7.59]
Student [rollNo=dac-006, name=Sahil, dob=1999-12-09, subject=DBT, gpa=7.81]
Student [rollNo=dac-003, name=Rama, dob=1995-12-09, subject=DBT, gpa=7.81]
Student [rollNo=dac-004, name=Priya, dob=1997-01-01, subject=JAVA, gpa=8.12]
Student [rollNo=dac-010, name=Meeta, dob=1998-01-01, subject=JAVA, gpa=8.12]
Student [rollNo=dac-015, name=Pallavi, dob=1999-08-13, subject=WPT, gpa=8.3]
Student [rollNo=dac-005, name=Shreya, dob=1999-08-13, subject=WPT, gpa=8.3]
Student [rollNo=dac-007, name=Rahul, dob=1997-07-22, subject=REACT, gpa=8.51]
Student [rollNo=dac-014, name=Raj, dob=1997-07-22, subject=REACT, gpa=8.51]
